source,target,value
HrFra,HrfOth,10
HrfOth,HrfOth 1,34
HrDem,HrCp,10
HrCp,HrCp 1,287
HrCp,CprLife,10
CprLife,CprLife 1,68
HrCp,CprTort,10
CprTort,CprTort 1,45
HrCp,CprEq,10
CprEq,CprEq 1,40
HrCp,CprSlav,10
CprSlav,CprSlav 1,28
HrCp,CprLib,10
CprLib,CprLib 1,75
HrCp,CprDet,10
CprDet,CprDet 1,30
HrCp,CprFmov,10
CprFmov,CprFmov 1,98
HrCp,CprFspe,10
CprFspe,CprFspe 1,7
HrCp,CprFass,10
CprFass,CprFass 1,85
HrCp,CprTria,10
CprTria,CprTria 1,57
HrCp,CprPriv,10
CprPriv,CprPriv 1,31
HrCp,CprVote,10
CprVote,CprVote 1,81
HrCp,CprReli,10
CprReli,CprReli 1,128
HrCp,CprOth,10
CprOth,CprOth 1,79
HrDem,HrSec,10
HrSec,HrSec 1,144
HrSec,SerProp,10
SerProp,SerProp 1,83
HrSec,SerWork,10
SerWork,SerWork 1,50
HrSec,SerHeal,10
SerHeal,SerHeal 1,33
HrSec,SerEdu,10
SerEdu,SerEdu 1,51
HrSec,SerStdl,10
SerStdl,SerStdl 1,28
HrSec,SerShel,10
SerShel,SerShel 1,25
HrSec,SerSs,10
SerSs,SerSs 1,25
HrSec,SerCult,10
SerCult,SerCult 1,51
HrSec,SerOth,10
SerOth,SerOth 1,42
HrNi,HrNiMe,10
HrNiMe,HrNiMe 1,47
HrNiMe,HrNiNe,10
HrNiNe,HrNiNe 1,59
HrNiMe,HrNiOth,10
HrNi,HrIi,10
HrIi,HrIi 3,17
HrIi,HrIi 1,15
HrIi,HrIi 2,14
HrIi,HrIiMon,10
HrIiMon,HrIiMon 1,38
HrIi,HrIiBod,10
HrIiBod,HrIiBod 1,9
HrIi,HrIiOth,10
HrIiOth,HrIiOth 1,1
HrIi,HrMob,10
HrMob,HrMob 1,526
HrIi,HrDet,10
HrDet,HrDet 1,39
HrDet,Med,10
Med,Med 1,248
Med,Med 2,118
Med,Med 3,115
Med,MedGov,10
MedGov,MedGov 1,50
Med,MedSubs,10
MedSubs,MedSubs 1,333
Med,MedLog,10
MedLog,MedLog 1,68
Med,MedOth,10
MedOth,MedOth 1,99
HrDet,HrCit,10
HrCit,HrCit 2,80
HrCit,HrCit 1,102
HrCit,HrCit 3,25
HrCit,CitGen,10
CitGen,CitGen 1,98
HrCit,CitRights,10
CitRights,CitRights 1,110
HrCit,CitDef,10
CitDef,CitDef 1,41
HrCit,CitOth,10
CitOth,CitOth 1,23
Justice Sector Reform,JusCr,10
JusCr,JusCr 1,158
JusCr,JusCrSp,10
JusCrSp,JusCrSp 1,103
JusCr,JusCrSys,10
JusCrSys,JusCrSys 1,65
JusCr,JusCrPow,10
JusCrPow,JusCrPow 1,43
Justice Sector Reform,JusEm,10
JusEm,JusEm 1,59
Justice Sector Reform,JusJu,10
JusJu,JusJu 1,262
Justice Sector Reform,JusPri,10
JusPri,JusPri 1,63
Justice Sector Reform,JusTra,10
JusTra,JusTra 1,123
Socio-Economic Reconstruction,Dev,10
Dev,Dev 1,495
Dev,Dev 2,150
Dev,Dev 3,98
Dev,DevSoc,10
DevSoc,DevSoc 1,543
Dev,DevHum,10
DevHum,DevHum 1,217
Dev,DevInfra,10
DevInfra,DevInfra 1,172
Socio-Economic Reconstruction,NEC,10
NEC,NEC 1,79
Socio-Economic Reconstruction,NatRes,10
NatRes,NatRes 1,203
Socio-Economic Reconstruction,IntFu,10
IntFu,IntFu 1,301
Socio-Economic Reconstruction,Bus,10
Bus,Bus 1,155
Bus,Bus 3,49
Bus,Bus 2,70
Bus,Tax,10
Tax,Tax 1,80
Tax,Tax 3,43
Tax,Tax 2,42
Tax,TaxPo,10
TaxPo,TaxPo 1,64
Tax,TaxRef,10
TaxRef,TaxRef 1,106
Tax,TaxOth,10
TaxOth,TaxOth 1,6
Bus,Ban,10
Ban,Ban 1,111
Ban,CenBan,10
CenBan,CenBan 1,64
Ban,BanPers,10
BanPers,BanPers 1,38
Ban,BanInt,10
BanInt,BanInt 1,46
Ban,BanXb,10
BanXb,BanXb 1,14
Bus,LaRef,10
LaRef,LaRef 1,217
LaRef,LaRefMan,10
LaRefMan,LaRefMan 1,119
LaRef,LaRefRet,10
LaRefRet,LaRefRet 1,108
LaRef,LaRefOth,10
LaRefOth,LaRefOth 1,79
Socio-Economic Reconstruction,LaNom,10
LaNom,LaNom 1,55
LaNom,LaCH,10
LaCH,LaCH 1,228
LaCH,LaCHTa,10
LaCHTa,LaCHTa 1,106
LaCH,LaCHIt,10
LaCHIt,LaCHIt 1,94
LaCH,LaCHPro,10
LaCHPro,LaCHPro 1,124
LaCH,LaCHOth,10
LaCHOth,LaCHOth 1,29
Socio-Economic Reconstruction,LaEn,10
LaEn,LaEn 1,192
Socio-Economic Reconstruction,Wat,10
Wat,Wat 1,176
Security Sector,SsrGua,10
SsrGua,SsrGua 1,716
SsrGua,Ce,10
Ce,Ce 1,229
Ce,Ce 2,414
Ce,Ce 3,201
Ce,CeProv,10
CeProv,CeProv 1,660
Ce,CeGen,10
CeGen,CeGen 1,202
Security Sector,SsrPol,10
SsrPol,SsrPol 1,238
SsrPol,SsrPol 2,153
SsrPol,SsrPol 3,46
Security Sector,SsrArm,10
SsrArm,SsrArm 1,126
SsrArm,SsrArm 3,51
SsrArm,SsrArm 2,135
SsrArm,SsrDdr,10
SsrDdr,SsrDdr 2,183
SsrDdr,SsrDdr 1,214
SsrDdr,SsrDdr 3,95
SsrDdr,DdrDemil,10
DdrDemil,DdrDemil 1,268
SsrDdr,DdrProg,10
DdrProg,DdrProg 1,228
Security Sector,SsrInt,10
SsrInt,SsrInt 1,28
SsrInt,SsrInt 2,16
SsrInt,SsrInt 3,11
Security Sector,SsrPsf,10
SsrPsf,SsrPsf 1,705
Security Sector,SsrFf,10
SsrFf,SsrFf 1,118
Security Sector,Cor,10
Cor,Cor 1,77
Cor,Cor 2,36
Cor,Cor 3,25
Security Sector,SsrCrOcr,10
SsrCrOcr,SsrCrOcr 2,39
SsrCrOcr,SsrCrOcr 1,58
SsrCrOcr,SsrCrOcr 3,16
Security Sector,SsrDrugs,10
SsrDrugs,SsrDrugs 2,25
SsrDrugs,SsrDrugs 1,42
SsrDrugs,SsrDrugs 3,7
Security Sector,Terr,10
Terr,Terr 1,173
Transitional Justice,TjGen,10
TjGen,TjGen 2,19
TjGen,TjGen 1,71
TjGen,TjGen 3,6
TjGen,TjAm,10
TjAm,TjAm 2,126
TjAm,TjAm 3,44
TjAm,TjAm 1,57
TjAm,TjAmPro,10
TjAmPro,TjAmPro 1,195
TjAm,TjSan,10
TjSan,TjSan 1,30
TjAm,TjPower,10
TjPower,TjPower 1,19
TjAm,TjAmBan,10
TjAmBan,TjAmBan 1,4
TjGen,TjCou,10
TjCou,TjCou 1,59
TjCou,TjCou 2,31
TjCou,TjCou 3,7
TjCou,TjJaNc,10
TjJaNc,TjJaNc 1,70
TjCou,TjJaIc,10
TjJaIc,TjJaIc 1,31
Transitional Justice,TjMech,10
TjMech,TjMech 2,67
TjMech,TjMech 3,35
TjMech,TjMech 1,15
Transitional Justice,TjPrire,10
TjPrire,TjPrire 1,127
TjPrire,TjPrire 3,53
TjPrire,TjPrire 2,147
Transitional Justice,TjVet,10
TjVet,TjVet 2,7
TjVet,TjVet 3,4
TjVet,TjVet 1,7
Transitional Justice,TjVic,10
TjVic,TjVic 1,106
TjVic,TjVic 2,104
TjVic,TjVic 3,19
Transitional Justice,TjMis,10
TjMis,TjMis 1,25
TjMis,TjMis 2,39
TjMis,TjMis 3,9
TjMis,TjRep,10
TjRep,TjRep 1,106
TjRep,TjRep 3,25
TjRep,TjRep 2,69
TjRep,TjRSym,10
TjRSym,TjRSym 1,20
TjRep,TjRMa,10
TjRMa,TjRMa 1,185
Transitional Justice,TjNR,10
TjNR,TjNR 1,326
TjNR,TjNR 3,23
TjNR,TjNR 2,74
Implementation,ImUN,10
ImUN,ImUN 1,361
Implementation,ImOth,10
ImOth,ImOth 1,438
Implementation,ImRef,10
ImRef,ImRef 1,18
Implementation,ImPK,10
ImPK,ImPK 1,539
Implementation,ImE,10
ImE,ImE 1,708
Implementation,ImSrc,10
ImSrc,ImSrc 1,1831
Implementation,ConRen,10
ConRen,ConRen 2,24
ConRen,ConRen 1,38
ConRen,ConRen 3,36
Implementation,ConRen,10
ConRen,ConRen 1,38
